#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 40 % cholesterol
# simulations from http://doi.org/10.5281/zenodo.61992
#
# q ;  FF(q) ; error of mean over time steps
  0.7170  20.13114191 -5.35069634
  0.7180  19.95149704 -5.35852018
  0.7190  19.76714890 -5.36681667
  0.7200  19.57829035 -5.37559443
  0.7210  19.38511495 -5.38485972
  0.7220  19.18781682 -5.39461632
  0.7230  18.98659050 -5.40486536
  0.7240  18.78163078 -5.41560523
  0.7250  18.57313262 -5.42683154
  0.7260  18.36129097 -5.43853697
  0.7270  18.14630067 -5.45071132
  0.7280  17.92835627 -5.46334140
  0.7290  17.70765196 -5.47641110
  0.7300  17.48438139 -5.48990132
  0.7310  17.25873758 -5.50379012
  0.7320  17.03091280 -5.51805268
  0.7330  16.80109840 -5.53266147
  0.7340  16.56948476 -5.54758632
  0.7350  16.33626112 -5.56279460
  0.7360  16.10161548 -5.57825133
  0.7370  15.86573451 -5.59391941
  0.7380  15.62880343 -5.60975987
  0.7390  15.39100588 -5.62573203
  0.7400  15.15252384 -5.64179382
  0.7410  14.91353754 -5.65790208
  0.7420  14.67422533 -5.67401280
  0.7430  14.43476361 -5.69008152
  0.7440  14.19532673 -5.70606360
  0.7450  13.95608688 -5.72191464
  0.7460  13.71721405 -5.73759076
  0.7470  13.47887588 -5.75304903
  0.7480  13.24123766 -5.76824776
  0.7490  13.00446216 -5.78314692
  0.7500  12.76870963 -5.79770844
  0.7510  12.53413769 -5.81189654
  0.7520  12.30090125 -5.82567802
  0.7530  12.06915249 -5.83902260
  0.7540  11.83904074 -5.85190306
  0.7550  11.61071244 -5.86429556
  0.7560  11.38431112 -5.87617974
  0.7570  11.15997727 -5.88753887
  0.7580  10.93784834 -5.89835994
  0.7590  10.71805867 -5.90863368
  0.7600  10.50073946 -5.91835459
  0.7610  10.28601871 -5.92752083
  0.7620  10.07402117 -5.93613416
  0.7630  9.86486832 -5.94419979
  0.7640  9.65867834 -5.95172617
  0.7650  9.45556603 -5.95872478
  0.7660  9.25564283 -5.96520990
  0.7670  9.05901679 -5.97119827
  0.7680  8.86579250 -5.97670885
  0.7690  8.67607111 -5.98176242
  0.7700  8.48995028 -5.98638133
  0.7710  8.30752419 -5.99058906
  0.7720  8.12888351 -5.99440997
  0.7730  7.95411537 -5.99786887
  0.7740  7.78330340 -6.00099076
  0.7750  7.61652765 -6.00380048
  0.7760  7.45386465 -6.00632241
  0.7770  7.29538737 -6.00858015
  0.7780  7.14116524 -6.01059633
  0.7790  6.99126411 -6.01239231
  0.7800  6.84574631 -6.01398795
  0.7810  6.70467062 -6.01540149
  0.7820  6.56809227 -6.01664928
  0.7830  6.43606300 -6.01774568
  0.7840  6.30863099 -6.01870294
  0.7850  6.18584096 -6.01953102
  0.7860  6.06773410 -6.02023757
  0.7870  5.95434818 -6.02082777
  0.7880  5.84571747 -6.02130430
  0.7890  5.74187284 -6.02166727
  0.7900  5.64284172 -6.02191414
  0.7910  5.54864819 -6.02203972
  0.7920  5.45931292 -6.02203608
  0.7930  5.37485326 -6.02189255
  0.7940  5.29528325 -6.02159572
  0.7950  5.22061361 -6.02112940
  0.7960  5.15085184 -6.02047468
  0.7970  5.08600216 -6.01960994
  0.7980  5.02606561 -6.01851090
  0.7990  4.97104004 -6.01715076
  0.8000  4.92092013 -6.01550031
  0.8010  4.87569748 -6.01352809
  0.8020  4.83536055 -6.01120062
  0.8030  4.79989478 -6.00848267
  0.8040  4.76928254 -6.00533757
  0.8050  4.74350322 -6.00172755
  0.8060  4.72253323 -5.99761422
  0.8070  4.70634604 -5.99295898
  0.8080  4.69491222 -5.98772353
  0.8090  4.68819947 -5.98187041
  0.8100  4.68617264 -5.97536358
  0.8110  4.68879378 -5.96816895
  0.8120  4.69602217 -5.96025500
  0.8130  4.70781437 -5.95159327
  0.8140  4.72412424 -5.94215896
  0.8150  4.74490300 -5.93193137
  0.8160  4.77009925 -5.92089432
  0.8170  4.79965902 -5.90903657
  0.8180  4.83352585 -5.89635204
  0.8190  4.87164076 -5.88284003
  0.8200  4.91394237 -5.86850536
  0.8210  4.96036692 -5.85335835
  0.8220  5.01084831 -5.83741475
  0.8230  5.06531814 -5.82069561
  0.8240  5.12370582 -5.80322699
  0.8250  5.18593855 -5.78503964
  0.8260  5.25194140 -5.76616863
  0.8270  5.32163740 -5.74665290
  0.8280  5.39494753 -5.72653476
  0.8290  5.47179082 -5.70585934
  0.8300  5.55208437 -5.68467409
  0.8310  5.63574345 -5.66302818
  0.8320  5.72268152 -5.64097199
  0.8330  5.81281029 -5.61855654
  0.8340  5.90603980 -5.59583294
  0.8350  6.00227844 -5.57285197
  0.8360  6.10143304 -5.54966354
  0.8370  6.20340891 -5.52631632
  0.8380  6.30810989 -5.50285735
  0.8390  6.41543845 -5.47933167
  0.8400  6.52529569 -5.45578210
  0.8410  6.63758144 -5.43224891
  0.8420  6.75219429 -5.40876970
  0.8430  6.86903169 -5.38537919
  0.8440  6.98798998 -5.36210913
  0.8450  7.10896444 -5.33898822
  0.8460  7.23184938 -5.31604209
  0.8470  7.35653820 -5.29329328
  0.8480  7.48292342 -5.27076124
  0.8490  7.61089678 -5.24846244
  0.8500  7.74034928 -5.22641042
  0.8510  7.87117126 -5.20461589
  0.8520  8.00325245 -5.18308685
  0.8530  8.13648204 -5.16182872
  0.8540  8.27074874 -5.14084452
  0.8550  8.40594087 -5.12013499
  0.8560  8.54194639 -5.09969879
  0.8570  8.67865299 -5.07953266
  0.8580  8.81594816 -5.05963162
  0.8590  8.95371925 -5.03998913
  0.8600  9.09185353 -5.02059731
  0.8610  9.23023827 -5.00144712
  0.8620  9.36876082 -4.98252854
  0.8630  9.50730866 -4.96383076
  0.8640  9.64576947 -4.94534241
  0.8650  9.78403121 -4.92705167
  0.8660  9.92198221 -4.90894649
  0.8670  10.05951120 -4.89101478
  0.8680  10.19650740 -4.87324453
  0.8690  10.33286060 -4.85562400
  0.8700  10.46846124 -4.83814188
  0.8710  10.60320043 -4.82078738
  0.8720  10.73697009 -4.80355042
  0.8730  10.86966299 -4.78642171
  0.8740  11.00117280 -4.76939288
  0.8750  11.13139422 -4.75245655
  0.8760  11.26022298 -4.73560646
  0.8770  11.38755598 -4.71883749
  0.8780  11.51329130 -4.70214574
  0.8790  11.63732834 -4.68552858
  0.8800  11.75956781 -4.66898466
  0.8810  11.87991187 -4.65251396
  0.8820  11.99826416 -4.63611776
  0.8830  12.11452990 -4.61979864
  0.8840  12.22861591 -4.60356049
  0.8850  12.34043072 -4.58740842
  0.8860  12.44988465 -4.57134878
  0.8870  12.55688981 -4.55538905
  0.8880  12.66136024 -4.53953781
  0.8890  12.76321193 -4.52380467
  0.8900  12.86236290 -4.50820017
  0.8910  12.95873324 -4.49273574
  0.8920  13.05224520 -4.47742353
  0.8930  13.14282325 -4.46227642
  0.8940  13.23039412 -4.44730784
  0.8950  13.31488685 -4.43253171
  0.8960  13.39623288 -4.41796234
  0.8970  13.47436607 -4.40361433
  0.8980  13.54922277 -4.38950246
  0.8990  13.62074186 -4.37564161
  0.9000  13.68886483 -4.36204665
  0.9010  13.75353577 -4.34873239
  0.9020  13.81470146 -4.33571342
  0.9030  13.87231141 -4.32300411
  0.9040  13.92631788 -4.31061846
  0.9050  13.97667593 -4.29857008
  0.9060  14.02334347 -4.28687210
  0.9070  14.06628125 -4.27553711
  0.9080  14.10545297 -4.26457709
  0.9090  14.14082521 -4.25400339
  0.9100  14.17236755 -4.24382664
  0.9110  14.20005253 -4.23405677
  0.9120  14.22385571 -4.22470289
  0.9130  14.24375566 -4.21577335
  0.9140  14.25973401 -4.20727565
  0.9150  14.27177544 -4.19921645
  0.9160  14.27986769 -4.19160153
  0.9170  14.28400158 -4.18443581
  0.9180  14.28417101 -4.17772334
  0.9190  14.28037298 -4.17146727
  0.9200  14.27260755 -4.16566986
  0.9210  14.26087788 -4.16033251
  0.9220  14.24519020 -4.15545575
  0.9230  14.22555380 -4.15103923
  0.9240  14.20198104 -4.14708178
  0.9250  14.17448732 -4.14358140
  0.9260  14.14309105 -4.14053529
  0.9270  14.10781366 -4.13793987
  0.9280  14.06867954 -4.13579079
  0.9290  14.02571606 -4.13408300
  0.9300  13.97895350 -4.13281072
  0.9310  13.92842502 -4.13196753
  0.9320  13.87416666 -4.13154637
  0.9330  13.81621728 -4.13153960
  0.9340  13.75461850 -4.13193900
  0.9350  13.68941469 -4.13273583
  0.9360  13.62065291 -4.13392088
  0.9370  13.54838286 -4.13548450
  0.9380  13.47265682 -4.13741663
  0.9390  13.39352962 -4.13970686
  0.9400  13.31105856 -4.14234446
  0.9410  13.22530336 -4.14531841
  0.9420  13.13632612 -4.14861749
  0.9430  13.04419120 -4.15223027
  0.9440  12.94896522 -4.15614516
  0.9450  12.85071694 -4.16035046
  0.9460  12.74951722 -4.16483442
  0.9470  12.64543895 -4.16958524
  0.9480  12.53855695 -4.17459111
  0.9490  12.42894790 -4.17984026
  0.9500  12.31669030 -4.18532099
  0.9510  12.20186433 -4.19102168
  0.9520  12.08455182 -4.19693082
  0.9530  11.96483614 -4.20303706
  0.9540  11.84280213 -4.20932917
  0.9550  11.71853600 -4.21579613
  0.9560  11.59212527 -4.22242706
  0.9570  11.46365864 -4.22921129
  0.9580  11.33322596 -4.23613833
  0.9590  11.20091808 -4.24319789
  0.9600  11.06682680 -4.25037985
  0.9610  10.93104479 -4.25767427
  0.9620  10.79366544 -4.26507136
  0.9630  10.65478284 -4.27256150
  0.9640  10.51449164 -4.28013517
  0.9650  10.37288699 -4.28778295
  0.9660  10.23006444 -4.29549552
  0.9670  10.08611981 -4.30326359
  0.9680  9.94114918 -4.31107786
  0.9690  9.79524872 -4.31892906
  0.9700  9.64851465 -4.32680781
  0.9710  9.50104314 -4.33470468
  0.9720  9.35293020 -4.34261008
  0.9730  9.20427163 -4.35051427
  0.9740  9.05516290 -4.35840729
  0.9750  8.90569908 -4.36627894
  0.9760  8.75597477 -4.37411874
  0.9770  8.60608397 -4.38191587
  0.9780  8.45612007 -4.38965916
  0.9790  8.30617570 -4.39733707
  0.9800  8.15634269 -4.40493761
  0.9810  8.00671199 -4.41244835
  0.9820  7.85737360 -4.41985640
  0.9830  7.70841647 -4.42714835
  0.9840  7.55992845 -4.43431029
  0.9850  7.41199624 -4.44132777
  0.9860  7.26470527 -4.44818583
  0.9870  7.11813968 -4.45486893
  0.9880  6.97238227 -4.46136103
  0.9890  6.82751437 -4.46764555
  0.9900  6.68361586 -4.47370537
  0.9910  6.54076507 -4.47952291
  0.9920  6.39903874 -4.48508012
  0.9930  6.25851197 -4.49035849
  0.9940  6.11925816 -4.49533916
  0.9950  5.98134899 -4.50000290
  0.9960  5.84485436 -4.50433023
  0.9970  5.70984235 -4.50830143
  0.9980  5.57637917 -4.51189667
  0.9990  5.44452917 -4.51509604
