#Z                    :CA      sd(:CA)
      3.3750       0.0000       0.0000
      3.6250       0.0000       0.0000
      3.8750       0.0000       0.0000
      4.1250       0.0000       0.0000
      4.3750       0.0000       0.0000
      4.6250       0.0000       0.0000
      4.8750       0.0000       0.0000
      5.1250       0.0000       0.0000
      5.3750       0.0000       0.0000
      5.6250       0.0000       0.0000
      5.8750       0.0000       0.0000
      6.1250       0.0000       0.0000
      6.3750       0.0000       0.0000
      6.6250       0.0000       0.0000
      6.8750       0.0000       0.0000
      7.1250       0.0000       0.0000
      7.3750       0.0000       0.0000
      7.6250       0.0000       0.0000
      7.8750       0.0000       0.0000
      8.1250       0.0000       0.0000
      8.3750       0.0000       0.0000
      8.6250       0.0000       0.0000
      8.8750       0.0000       0.0000
      9.1250       0.0000       0.0000
      9.3750       0.0000       0.0000
      9.6250       0.0000       0.0000
      9.8750       0.0000       0.0000
     10.1250       0.0000       0.0000
     10.3750       0.0000       0.0000
     10.6250       0.0000       0.0000
     10.8750       0.0000       0.0000
     11.1250       0.0000       0.0000
     11.3750       0.0000       0.0000
     11.6250       0.0000       0.0000
     11.8750       0.0000       0.0000
     12.1250       0.0000       0.0000
     12.3750       0.0000       0.0000
     12.6250       0.0000       0.0000
     12.8750       0.0000       0.0000
     13.1250       0.0002       0.0071
     13.3750       0.0004       0.0100
     13.6250       0.0022       0.0234
     13.8750       0.0056       0.0374
     14.1250       0.0081       0.0450
     14.3750       0.0162       0.0635
     14.6250       0.0251       0.0793
     14.8750       0.0426       0.1041
     15.1250       0.0751       0.1392
     15.3750       0.1271       0.1852
     15.6250       0.2124       0.2387
     15.8750       0.3370       0.3017
     16.1250       0.5161       0.3694
     16.3750       0.7341       0.4349
     16.6250       1.0648       0.5179
     16.8750       1.4018       0.5869
     17.1250       1.8126       0.6644
     17.3750       2.2557       0.7375
     17.6250       2.6834       0.8012
     17.8750       3.1830       0.8741
     18.1250       3.7751       0.9509
     18.3750       4.3980       1.0326
     18.6250       5.0389       1.1026
     18.8750       5.7645       1.1820
     19.1250       6.4853       1.2406
     19.3750       7.1439       1.3101
     19.6250       7.8702       1.3766
     19.8750       8.4918       1.4135
     20.1250       8.9326       1.4559
     20.3750       9.5367       1.4805
     20.6250       9.9123       1.5201
     20.8750      10.0975       1.5417
     21.1250      10.0551       1.5398
     21.3750      10.0247       1.5339
     21.6250       9.6829       1.5144
     21.8750       9.3832       1.4898
     22.1250       8.9462       1.4574
     22.3750       8.3181       1.4080
     22.6250       7.8214       1.3562
     22.8750       7.1784       1.3035
     23.1250       6.6140       1.2398
     23.3750       5.9884       1.1794
     23.6250       5.5612       1.1362
     23.8750       5.0865       1.0941
     24.1250       4.6853       1.0559
     24.3750       4.3387       1.0348
     24.6250       4.1161       1.0068
     24.8750       3.8420       0.9779
     25.1250       3.5823       0.9430
     25.3750       3.3380       0.9072
     25.6250       3.1299       0.8751
     25.8750       2.9436       0.8419
     26.1250       2.8658       0.8358
     26.3750       2.7426       0.8161
     26.6250       2.7006       0.8112
     26.8750       2.6988       0.8046
     27.1250       2.7307       0.8113
     27.3750       2.7222       0.8125
     27.6250       2.7740       0.8168
     27.8750       2.8408       0.8324
     28.1250       2.8695       0.8327
     28.3750       2.9214       0.8378
     28.6250       2.9835       0.8514
     28.8750       3.0165       0.8620
     29.1250       3.0618       0.8665
     29.3750       3.0954       0.8676
     29.6250       3.1479       0.8752
     29.8750       3.1831       0.8792
     30.1250       3.1995       0.8806
     30.3750       3.2360       0.8890
     30.6250       3.2137       0.8836
     30.8750       3.2054       0.8822
     31.1250       3.1616       0.8819
     31.3750       3.1617       0.8805
     31.6250       3.1380       0.8659
     31.8750       3.0947       0.8695
     32.1250       3.0805       0.8672
     32.3750       3.0354       0.8556
