#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 10 % cholesterol
# simulations from  http://doi.org/10.5281/zenodo.159759
#
# q ;  FF(q) ; error of mean over time steps
  0.1630  222.78117600 -5.54042414
  0.1640  221.70023749 -5.57124080
  0.1650  220.56390231 -5.59758745
  0.1660  219.37263951 -5.61933966
  0.1670  218.12694086 -5.63642275
  0.1680  216.82732054 -5.64881274
  0.1690  215.47431489 -5.65653592
  0.1700  214.06848207 -5.65966702
  0.1710  212.61040177 -5.65832620
  0.1720  211.10067487 -5.65267489
  0.1730  209.53992310 -5.64291086
  0.1740  207.92878874 -5.62926262
  0.1750  206.26793421 -5.61198346
  0.1760  204.55804175 -5.59134536
  0.1770  202.79981307 -5.56763307
  0.1780  200.99396892 -5.54113838
  0.1790  199.14124875 -5.51215488
  0.1800  197.24241033 -5.48097334
  0.1810  195.29822931 -5.44787757
  0.1820  193.30949883 -5.41314108
  0.1830  191.27702915 -5.37702433
  0.1840  189.20164718 -5.33977263
  0.1850  187.08419607 -5.30161464
  0.1860  184.92553481 -5.26276139
  0.1870  182.72653774 -5.22340579
  0.1880  180.48809415 -5.18372252
  0.1890  178.21110784 -5.14386829
  0.1900  175.89649662 -5.10398230
  0.1910  173.54519189 -5.06418698
  0.1920  171.15813818 -5.02458884
  0.1930  168.73629265 -4.98527947
  0.1940  166.28062465 -4.94633653
  0.1950  163.79211526 -4.90782490
  0.1960  161.27175675 -4.86979772
  0.1970  158.72055215 -4.83229747
  0.1980  156.13951478 -4.79535705
  0.1990  153.52966769 -4.75900079
  0.2000  150.89204323 -4.72324540
  0.2010  148.22768256 -4.68810088
  0.2020  145.53763511 -4.65357141
  0.2030  142.82295812 -4.61965611
  0.2040  140.08471614 -4.58634980
  0.2050  137.32398050 -4.55364371
  0.2060  134.54182886 -4.52152603
  0.2070  131.73934468 -4.48998256
  0.2080  128.91761670 -4.45899720
  0.2090  126.07773849 -4.42855239
  0.2100  123.22080792 -4.39862960
  0.2110  120.34792664 -4.36920961
  0.2120  117.46019963 -4.34027293
  0.2130  114.55873470 -4.31180001
  0.2140  111.64464194 -4.28377155
  0.2150  108.71903330 -4.25616865
  0.2160  105.78302207 -4.22897302
  0.2170  102.83772240 -4.20216706
  0.2180  99.88424882 -4.17573399
  0.2190  96.92371578 -4.14965789
  0.2200  93.95723720 -4.12392367
  0.2210  90.98592597 -4.09851713
  0.2220  88.01089354 -4.07342479
  0.2230  85.03324950 -4.04863384
  0.2240  82.05410113 -4.02413199
  0.2250  79.07455300 -3.99990719
  0.2260  76.09570664 -3.97594742
  0.2270  73.11866011 -3.95224033
  0.2280  70.14450778 -3.92877281
  0.2290  67.17433997 -3.90553048
  0.2300  64.20924278 -3.88249703
  0.2310  61.25029792 -3.85965345
  0.2320  58.29858270 -3.83697700
  0.2330  55.35517004 -3.81443995
  0.2340  52.42112876 -3.79200797
  0.2350  49.49752404 -3.76963803
  0.2360  46.58541825 -3.74727560
  0.2370  43.68587222 -3.72485098
  0.2380  40.79994721 -3.70227422
  0.2390  37.92870799 -3.67942807
  0.2400  35.07322736 -3.65615803
  0.2410  32.23459343 -3.63225780
  0.2420  29.41392083 -3.60744768
  0.2430  26.61236918 -3.58134134
  0.2440  23.83117404 -3.55339320
  0.2450  21.07170159 -3.52281195
  0.2460  18.33555075 -3.48841235
  0.2470  15.62475832 -3.44834935
  0.2480  12.94225148 -3.39961802
  0.2490  10.29297931 -3.33708110
  0.2500  7.68728688 -3.25169372
  0.2510  5.15405151 -3.13009641
  0.2520  2.82066971 -3.02431222
  0.2530  1.69049965 -7.58328541
  0.2540  3.29302186 6.83304120
  0.2550  5.61051110 4.74985005
  0.2560  8.01943533 4.27886697
  0.2570  10.43486396 4.07575789
  0.2580  12.83493415 3.96311789
  0.2590  15.21127648 3.89173573
  0.2600  17.55975978 3.84274752
  0.2610  19.87793071 3.80741948
  0.2620  22.16411332 3.78116871
  0.2630  24.41703677 3.76136541
  0.2640  26.63566234 3.74639573
  0.2650  28.81909558 3.73521603
  0.2660  30.96653848 3.72712254
  0.2670  33.07726203 3.72162398
  0.2680  35.15058957 3.71836733
  0.2690  37.18588647 3.71709249
  0.2700  39.18255342 3.71760356
  0.2710  41.14002200 3.71974998
  0.2720  43.05775166 3.72341381
  0.2730  44.93522764 3.72850096
  0.2740  46.77195953 3.73493488
  0.2750  48.56748020 3.74265209
  0.2760  50.32134504 3.75159875
  0.2770  52.03313147 3.76172820
  0.2780  53.70243846 3.77299892
  0.2790  55.32888629 3.78537303
  0.2800  56.91211630 3.79881502
  0.2810  58.45179069 3.81329072
  0.2820  59.94759245 3.82876643
  0.2830  61.39922517 3.84520821
  0.2840  62.80641303 3.86258116
  0.2850  64.16890067 3.88084888
  0.2860  65.48645314 3.89997290
  0.2870  66.75885584 3.91991222
  0.2880  67.98591445 3.94062284
  0.2890  69.16745487 3.96205730
  0.2900  70.30332317 3.98416431
  0.2910  71.39338550 4.00688836
  0.2920  72.43752802 4.03016938
  0.2930  73.43565686 4.05394243
  0.2940  74.38769800 4.07813741
  0.2950  75.29359719 4.10267885
  0.2960  76.15331986 4.12748573
  0.2970  76.96685102 4.15247134
  0.2980  77.73419517 4.17754328
  0.2990  78.45537613 4.20260346
  0.3000  79.13043700 4.22754826
  0.3010  79.75943994 4.25226873
  0.3020  80.34246611 4.27665096
  0.3030  80.87961549 4.30057655
  0.3040  81.37100672 4.32392318
  0.3050  81.81677696 4.34656535
  0.3060  82.21708172 4.36837527
  0.3070  82.57209470 4.38922381
  0.3080  82.88200757 4.40898168
  0.3090  83.14702982 4.42752060
  0.3100  83.36738856 4.44471474
