#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 10 % cholesterol
# simulations from  http://doi.org/10.5281/zenodo.159759
#
# q ;  FF(q) ; error of mean over time steps
  0.6890  1.51779345 -3.92428812
  0.6900  1.70286178 -4.00377575
  0.6910  1.89299151 -4.08364567
  0.6920  2.08614669 -4.16008636
  0.6930  2.28092381 -4.23153152
  0.6940  2.47632216 -4.29751208
  0.6950  2.67160398 -4.35808703
  0.6960  2.86620767 -4.41355694
  0.6970  3.05969279 -4.46431880
  0.6980  3.25170433 -4.51079299
  0.6990  3.44194903 -4.55338752
  0.7000  3.63017926 -4.59248179
  0.7010  3.81618192 -4.62842054
  0.7020  3.99977052 -4.66151294
  0.7030  4.18077957 -4.69203432
  0.7040  4.35906047 -4.72022900
  0.7050  4.53447848 -4.74631350
  0.7060  4.70691037 -4.77047977
  0.7070  4.87624276 -4.79289824
  0.7080  5.04237076 -4.81372055
  0.7090  5.20519694 -4.83308198
  0.7100  5.36463049 -4.85110366
  0.7110  5.52058663 -4.86789444
  0.7120  5.67298604 -4.88355248
  0.7130  5.82175449 -4.89816676
  0.7140  5.96682247 -4.91181821
  0.7150  6.10812494 -4.92458085
  0.7160  6.24560105 -4.93652265
  0.7170  6.37919402 -4.94770636
  0.7180  6.50885091 -4.95819015
  0.7190  6.63452252 -4.96802822
  0.7200  6.75616323 -4.97727128
  0.7210  6.87373097 -4.98596700
  0.7220  6.98718704 -4.99416036
  0.7230  7.09649608 -5.00189396
  0.7240  7.20162600 -5.00920829
  0.7250  7.30254788 -5.01614196
  0.7260  7.39923593 -5.02273186
  0.7270  7.49166745 -5.02901334
  0.7280  7.57982273 -5.03502032
  0.7290  7.66368506 -5.04078540
  0.7300  7.74324061 -5.04633995
  0.7310  7.81847846 -5.05171416
  0.7320  7.88939051 -5.05693708
  0.7330  7.95597143 -5.06203670
  0.7340  8.01821866 -5.06703990
  0.7350  8.07613233 -5.07197255
  0.7360  8.12971521 -5.07685946
  0.7370  8.17897273 -5.08172437
  0.7380  8.22391288 -5.08659000
  0.7390  8.26454617 -5.09147800
  0.7400  8.30088564 -5.09640893
  0.7410  8.33294677 -5.10140228
  0.7420  8.36074746 -5.10647642
  0.7430  8.38430797 -5.11164859
  0.7440  8.40365092 -5.11693491
  0.7450  8.41880121 -5.12235029
  0.7460  8.42978597 -5.12790851
  0.7470  8.43663456 -5.13362212
  0.7480  8.43937850 -5.13950244
  0.7490  8.43805144 -5.14555959
  0.7500  8.43268909 -5.15180243
  0.7510  8.42332920 -5.15823855
  0.7520  8.41001152 -5.16487430
  0.7530  8.39277774 -5.17171473
  0.7540  8.37167145 -5.17876364
  0.7550  8.34673810 -5.18602351
  0.7560  8.31802495 -5.19349556
  0.7570  8.28558103 -5.20117974
  0.7580  8.24945708 -5.20907471
  0.7590  8.20970554 -5.21717786
  0.7600  8.16638045 -5.22548534
  0.7610  8.11953743 -5.23399203
  0.7620  8.06923367 -5.24269163
  0.7630  8.01552781 -5.25157658
  0.7640  7.95847994 -5.26063817
  0.7650  7.89815156 -5.26986652
  0.7660  7.83460550 -5.27925064
  0.7670  7.76790588 -5.28877842
  0.7680  7.69811810 -5.29843672
  0.7690  7.62530874 -5.30821136
  0.7700  7.54954553 -5.31808721
  0.7710  7.47089732 -5.32804822
  0.7720  7.38943401 -5.33807745
  0.7730  7.30522653 -5.34815718
  0.7740  7.21834673 -5.35826894
  0.7750  7.12886743 -5.36839357
  0.7760  7.03686226 -5.37851133
  0.7770  6.94240570 -5.38860192
  0.7780  6.84557300 -5.39864464
  0.7790  6.74644013 -5.40861841
  0.7800  6.64508371 -5.41850187
  0.7810  6.54158103 -5.42827352
  0.7820  6.43600992 -5.43791175
  0.7830  6.32844875 -5.44739501
  0.7840  6.21897640 -5.45670187
  0.7850  6.10767215 -5.46581112
  0.7860  5.99461570 -5.47470191
  0.7870  5.87988707 -5.48335382
  0.7880  5.76356659 -5.49174700
  0.7890  5.64573485 -5.49986224
  0.7900  5.52647261 -5.50768108
  0.7910  5.40586083 -5.51518592
  0.7920  5.28398056 -5.52236008
  0.7930  5.16091293 -5.52918792
  0.7940  5.03673907 -5.53565486
  0.7950  4.91154013 -5.54174752
  0.7960  4.78539717 -5.54745372
  0.7970  4.65839113 -5.55276252
  0.7980  4.53060282 -5.55766431
  0.7990  4.40211286 -5.56215075
  0.8000  4.27300162 -5.56621485
  0.8010  4.14334919 -5.56985090
  0.8020  4.01323534 -5.57305446
  0.8030  3.88273949 -5.57582233
  0.8040  3.75194066 -5.57815247
  0.8050  3.62091741 -5.58004390
  0.8060  3.48974783 -5.58149663
  0.8070  3.35850949 -5.58251148
  0.8080  3.22727940 -5.58308994
  0.8090  3.09613398 -5.58323400
  0.8100  2.96514901 -5.58294586
  0.8110  2.83439959 -5.58222771
  0.8120  2.70396014 -5.58108137
  0.8130  2.57390431 -5.57950786
  0.8140  2.44430499 -5.57750695
  0.8150  2.31523427 -5.57507649
  0.8160  2.18676336 -5.57221165
  0.8170  2.05896263 -5.56890383
  0.8180  1.93190154 -5.56513938
  0.8190  1.80564860 -5.56089769
  0.8200  1.68027136 -5.55614864
  0.8210  1.55583638 -5.55084902
  0.8220  1.43240920 -5.54493716
  0.8230  1.31005433 -5.53832499
  0.8240  1.18883524 -5.53088557
  0.8250  1.06881432 -5.52243302
  0.8260  0.95005292 -5.51268850
  0.8270  0.83261138 -5.50121958
  0.8280  0.71654914 -5.48732486
  0.8290  0.60192496 -5.46979618
  0.8300  0.48879754 -5.44637353
  0.8310  0.37722712 -5.41230354
  0.8320  0.26728116 -5.35563406
  0.8330  0.15906268 -5.23545405
  0.8340  0.05307642 -4.76749397
  0.8350  0.05378714 6.86844640
  0.8360  0.15624002 5.89554096
  0.8370  0.25735757 5.73571874
  0.8380  0.35665709 5.66787232
  0.8390  0.45404471 5.62888387
  0.8400  0.54946416 5.60261682
  0.8410  0.64286898 5.58306758
  0.8420  0.73421698 5.56749238
  0.8430  0.82346863 5.55445961
  0.8440  0.91058639 5.54314924
  0.8450  0.99553455 5.53305761
  0.8460  1.07827905 5.52385803
  0.8470  1.15878743 5.51532908
  0.8480  1.23702886 5.50731507
  0.8490  1.31297405 5.49970304
  0.8500  1.38659530 5.49240877
  0.8510  1.45786646 5.48536796
  0.8520  1.52676295 5.47853041
  0.8530  1.59326177 5.47185624
  0.8540  1.65734145 5.46531316
  0.8550  1.71898214 5.45887467
  0.8560  1.77816550 5.45251875
  0.8570  1.83487480 5.44622689
  0.8580  1.88909484 5.43998344
  0.8590  1.94081201 5.43377508
  0.8600  1.99001425 5.42759047
  0.8610  2.03669105 5.42141997
  0.8620  2.08083347 5.41525544
  0.8630  2.12243408 5.40909011
  0.8640  2.16148704 5.40291846
  0.8650  2.19798802 5.39673613
  0.8660  2.23193421 5.39053989
  0.8670  2.26332433 5.38432759
  0.8680  2.29215861 5.37809814
  0.8690  2.31843877 5.37185150
  0.8700  2.34216805 5.36558864
  0.8710  2.36335112 5.35931157
  0.8720  2.38199416 5.35302332
  0.8730  2.39810478 5.34672797
  0.8740  2.41169204 5.34043059
  0.8750  2.42276641 5.33413734
  0.8760  2.43133977 5.32785536
  0.8770  2.43742542 5.32159287
  0.8780  2.44103802 5.31535914
  0.8790  2.44219357 5.30916450
  0.8800  2.44090944 5.30302035
  0.8810  2.43720432 5.29693917
  0.8820  2.43109819 5.29093457
  0.8830  2.42261231 5.28502127
  0.8840  2.41176924 5.27921516
  0.8850  2.39859273 5.27353332
  0.8860  2.38310780 5.26799409
  0.8870  2.36534063 5.26261714
  0.8880  2.34531860 5.25742352
  0.8890  2.32307023 5.25243578
  0.8900  2.29862518 5.24767808
  0.8910  2.27201422 5.24317637
  0.8920  2.24326918 5.23895854
  0.8930  2.21242297 5.23505468
  0.8940  2.17950953 5.23149733
  0.8950  2.14456380 5.22832186
  0.8960  2.10762171 5.22556683
  0.8970  2.06872016 5.22327457
  0.8980  2.02789697 5.22149173
  0.8990  1.98519089 5.22027011
  0.9000  1.94064155 5.21966753
  0.9010  1.89428944 5.21974905
  0.9020  1.84617593 5.22058840
  0.9030  1.79634319 5.22226976
  0.9040  1.74483423 5.22489005
  0.9050  1.69169282 5.22856183
  0.9060  1.63696358 5.23341692
  0.9070  1.58069189 5.23961118
  0.9080  1.52292391 5.24733073
  0.9090  1.46370665 5.25680004
  0.9100  1.40308794 5.26829291
  0.9110  1.34111651 5.28214724
  0.9120  1.27784206 5.29878538
  0.9130  1.21331538 5.31874273
  0.9140  1.14758851 5.34270861
  0.9150  1.08071504 5.37158610
  0.9160  1.01275044 5.40658179
  0.9170  0.94375272 5.44934480
  0.9180  0.87378324 5.50218904
  0.9190  0.80290824 5.56846369
  0.9200  0.73120107 5.65320057
  0.9210  0.65874623 5.76431291
  0.9220  0.58564632 5.91497994
  0.9230  0.51203528 6.12884322
  0.9240  0.43810523 6.45278206
  0.9250  0.36416613 6.99409450
  0.9260  0.29079540 8.06051248
  0.9270  0.21927687 11.00180694
  0.9280  0.15316768 42.06456500
  0.9290  0.10463601 -8.18586977
  0.9300  0.10377979 -3.53831555
  0.9310  0.15204453 -3.30588034
  0.9320  0.21943688 -3.49653746
  0.9330  0.29326858 -3.68338799
  0.9340  0.36983722 -3.82991404
  0.9350  0.44781829 -3.94249516
  0.9360  0.52662114 -4.02996143
  0.9370  0.60593150 -4.09902672
  0.9380  0.68555646 -4.15440684
  0.9390  0.76536296 -4.19939957
  0.9400  0.84525021 -4.23634459
  0.9410  0.92513617 -4.26693402
  0.9420  1.00495037 -4.29241598
  0.9430  1.08462985 -4.31372833
  0.9440  1.16411683 -4.33158808
  0.9450  1.24335719 -4.34655199
  0.9460  1.32229961 -4.35905873
  0.9470  1.40089492 -4.36945851
  0.9480  1.47909571 -4.37803437
  0.9490  1.55685604 -4.38501773
  0.9500  1.63413130 -4.39059987
  0.9510  1.71087804 -4.39494056
  0.9520  1.78705386 -4.39817462
  0.9530  1.86261742 -4.40041689
  0.9540  1.93752833 -4.40176620
  0.9550  2.01174715 -4.40230834
  0.9560  2.08523535 -4.40211854
  0.9570  2.15795533 -4.40126332
  0.9580  2.22987040 -4.39980208
  0.9590  2.30094476 -4.39778825
  0.9600  2.37114354 -4.39527034
  0.9610  2.44043276 -4.39229273
  0.9620  2.50877936 -4.38889632
  0.9630  2.57615120 -4.38511903
  0.9640  2.64251708 -4.38099627
  0.9650  2.70784670 -4.37656128
  0.9660  2.77211073 -4.37184540
  0.9670  2.83528077 -4.36687831
  0.9680  2.89732939 -4.36168821
  0.9690  2.95823009 -4.35630195
  0.9700  3.01795737 -4.35074518
  0.9710  3.07648668 -4.34504243
  0.9720  3.13379445 -4.33921715
  0.9730  3.18985808 -4.33329179
  0.9740  3.24465597 -4.32728783
  0.9750  3.29816750 -4.32122581
  0.9760  3.35037305 -4.31512532
  0.9770  3.40125398 -4.30900505
  0.9780  3.45079265 -4.30288276
  0.9790  3.49897241 -4.29677527
  0.9800  3.54577763 -4.29069848
  0.9810  3.59119363 -4.28466734
  0.9820  3.63520676 -4.27869586
  0.9830  3.67780434 -4.27279704
  0.9840  3.71897471 -4.26698294
  0.9850  3.75870716 -4.26126459
  0.9860  3.79699197 -4.25565203
  0.9870  3.83382041 -4.25015424
  0.9880  3.86918472 -4.24477919
  0.9890  3.90307810 -4.23953380
  0.9900  3.93549469 -4.23442391
  0.9910  3.96642962 -4.22945431
  0.9920  3.99587894 -4.22462870
  0.9930  4.02383962 -4.21994974
  0.9940  4.05030959 -4.21541898
  0.9950  4.07528768 -4.21103690
  0.9960  4.09877360 -4.20680293
  0.9970  4.12076799 -4.20271543
  0.9980  4.14127235 -4.19877171
  0.9990  4.16028906 -4.19496805
