#Experimental scattering data measured and shared by Georg Pabst and Peter Heftberger originally at
#http://nmrlipids.blogspot.com/p/about.html
#https://drive.google.com/folderview?id=0BypC9VEx1ib_flRzLTlsVFE1VG9PTjhCMVdROWFrVXpQb2Z3eXlsZXhsaUJSR2RucmNkenc&usp=sharing
#q[1/A]     |F(q)|[e/A^2]
      0.3141660           0.03776241
      0.3151830           0.03165438
      0.3161990           0.02513762
      0.3172150           0.01821538
      0.3182310           0.01089036
      0.3192475          0.003178050
      0.3202640          0.004929503
      0.3212800           0.01339403
      0.3222960           0.02222836
      0.3233125           0.03141974
      0.3243290           0.04095973
      0.3253450           0.05083306
      0.3263610           0.06103278
      0.3273770           0.07155068
      0.3283940           0.08238871
      0.3294100           0.09351470
      0.3304260            0.1049305
      0.3314420            0.1166255
      0.3324585            0.1285963
      0.3334750            0.1408265
      0.3344910            0.1533013
      0.3355070            0.1660148
      0.3365230            0.1789587
      0.3375400            0.1921343
      0.3385560            0.2055064
      0.3395720            0.2190778
      0.3405880            0.2328371
      0.3416045            0.2467819
      0.3426210            0.2608950
      0.3436370            0.2751583
      0.3446530            0.2895700
      0.3456690            0.3041177
      0.3466860            0.3188072
      0.3477020            0.3335984
      0.3487180            0.3484960
      0.3497340            0.3634899
      0.3507510            0.3785841
      0.3517670            0.3937385
      0.3527830            0.4089583
      0.3537990            0.4242338
      0.3548155            0.4395624
      0.3558320            0.4549255
      0.3568480            0.4703067
      0.3578640            0.4857032
      0.3588800            0.5011058
      0.3598970            0.5165190
      0.3609130            0.5319036
      0.3619290            0.5472654
      0.3629450            0.5625939
      0.3639615            0.5778884
      0.3649780            0.5931312
      0.3659940            0.6083070
      0.3670100            0.6234127
      0.3680260            0.6384401
      0.3690430            0.6533960
      0.3700590            0.6682412
      0.3710750            0.6829815
      0.3720910            0.6976092
      0.3731075            0.7121235
      0.3741240            0.7265084
      0.3751400            0.7407495
      0.3761560            0.7548450
      0.3771725            0.7687951
      0.3781890            0.7825848
      0.3792050            0.7961999
      0.3802210            0.8096408
      0.3812370            0.8228992
      0.3822540            0.8359815
      0.3832700            0.8488556
      0.3842860            0.8615281
      0.3853020            0.8739921
      0.3863185            0.8862463
      0.3873350            0.8982801
      0.3883510            0.9100812
      0.3893670            0.9216504
      0.3903830            0.9329811
      0.3914000            0.9440800
      0.3924160            0.9549190
      0.3934320            0.9655048
      0.3944480            0.9758326
      0.3954645            0.9859027
      0.3964810            0.9957054
      0.3974970             1.005232
      0.3985130             1.014483
      0.3995290             1.023455
      0.4005460             1.032153
      0.4015620             1.040556
      0.4025780             1.048669
      0.4035940             1.056490
      0.4046110             1.064023
      0.4056270             1.071250
      0.4066430             1.078177
      0.4076590             1.084802
      0.4086755             1.091124
      0.4096920             1.097140
      0.4107080             1.102844
      0.4117240             1.108238
      0.4127400             1.113321
      0.4137570             1.118097
      0.4147730             1.122554
      0.4157890             1.126698
      0.4168050             1.130527
      0.4178215             1.134042
      0.4188380             1.137243
      0.4198540             1.140126
      0.4208700             1.142695
      0.4218860             1.144950
      0.4229030             1.146892
      0.4239190             1.148519
      0.4249350             1.149834
      0.4259510             1.150837
      0.4269675             1.151531
      0.4279840             1.151916
      0.4290000             1.151994
      0.4300160             1.151766
      0.4310325             1.151235
      0.4320490             1.150402
      0.4330650             1.149270
      0.4340810             1.147842
      0.4350970             1.146119
      0.4361140             1.144103
      0.4371300             1.141800
      0.4381460             1.139211
      0.4391620             1.136339
      0.4401785             1.133186
      0.4411950             1.129758
      0.4422110             1.126058
      0.4432270             1.122089
      0.4442430             1.117855
      0.4452600             1.113355
      0.4462760             1.108602
      0.4472920             1.103596
      0.4483080             1.098341
      0.4493245             1.092838
      0.4503410             1.087095
      0.4513570             1.081118
      0.4523730             1.074911
      0.4533890             1.068478
      0.4544060             1.061815
      0.4554220             1.054943
      0.4564380             1.047859
      0.4574540             1.040568
      0.4584710             1.033069
      0.4594870             1.025380
      0.4605030             1.017500
      0.4615190             1.009434
      0.4625355             1.001184
      0.4635520            0.9927588
      0.4645680            0.9841683
      0.4655840            0.9754136
      0.4666000            0.9665011
      0.4676170            0.9574270
      0.4686330            0.9482148
      0.4696490            0.9388607
      0.4706650            0.9293715
      0.4716815            0.9197482
      0.4726980            0.9100005
      0.4737140            0.9001395
      0.4747300            0.8901662
      0.4757460            0.8800865
      0.4767630            0.8698961
      0.4777790            0.8596213
      0.4787950            0.8492577
      0.4798110            0.8388105
      0.4808275            0.8282815
      0.4818440            0.8176810
      0.4828600            0.8070207
      0.4838760            0.7963008
      0.4848925            0.7855216
      0.4859090            0.7746943
      0.4869250            0.7638301
      0.4879410            0.7529297
      0.4889570            0.7419987
      0.4899740            0.7310313
      0.4909900            0.7200559
      0.4920060            0.7090659
      0.4930220            0.6980685
      0.4940385            0.6870626
      0.4950550            0.6760594
      0.4960710            0.6650699
      0.4970870            0.6540936
      0.4981030            0.6431368
      0.4991200            0.6321931
      0.5001360            0.6212890
      0.5011520            0.6104199
      0.5021679            0.5995910
      0.5031846            0.5887980
      0.5042010            0.5780580
      0.5052170            0.5673761
      0.5062330            0.5567535
      0.5072490            0.5461949
      0.5082660            0.5356941
      0.5092820            0.5252760
      0.5102980            0.5149356
      0.5113140            0.5046777
      0.5123310            0.4944944
      0.5133470            0.4844123
      0.5143631            0.4744232
      0.5153790            0.4645347
      0.5163955            0.4547426
      0.5174119            0.4450579
      0.5184280            0.4354856
      0.5194440            0.4260279
      0.5204600            0.4166869
